(Do Not Modify) Task,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Subject,Description,Regarding,Owner,Duration,DueDate,Mo.-Fr. after 6pm,Offsetting to Customer,Saturday,Sunday/Holiday
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/2/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/3/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/9/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/10/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/11/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/12/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/13/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/16/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/17/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/18/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/19/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/20/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/23/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/24/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/25/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/26/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/27/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/30/17 1:00 PM,,,,
,,,"SCOM configuration, creation new management packs for non microsoft devices and network equipment",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,1/31/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/1/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/2/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/3/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/6/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/7/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/8/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/9/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/10/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/13/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/14/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/15/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/16/17 1:00 PM,,,,
,,,"Network configuration, implementation spanning tree protocol",,ITVT - Datacenter Konzeption,Yaroslav Yakushev,300,2/17/17 1:00 PM,,,,
